N,x_max,weight_core,weight_osc,form,alpha,normalization,error
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,by_trace,30.669365785808573
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,1.3333333333333335,scale_first_to_zero1,54.51161538482605
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,none,28.331487433907505
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,by_max_eig,30.650881304728987
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,by_trace,30.66934898006447
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,2.166666666666667,scale_first_to_zero1,45.84611366453773
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,none,28.26371689653646
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,by_max_eig,30.650331277358436
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,by_trace,30.6693325595052
64,8.0,0.4915254237288136,0.01694915254237288,quadratic,3.0,scale_first_to_zero1,40.24894140169437
64,8.0,0.4915254237288136,0.01694915254237288,exponential,0.5,none,28.485194448743673
64,8.0,0.4915254237288136,0.01694915254237288,exponential,0.5,by_max_eig,30.65212941313881
64,8.0,0.4915254237288136,0.01694915254237288,exponential,0.5,by_trace,30.66938643365316
64,8.0,0.4915254237288136,0.01694915254237288,exponential,0.5,scale_first_to_zero1,74.13487328703425
64,8.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,none,28.43793892309802
64,8.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,by_max_eig,30.65174445942469
64,8.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,by_trace,30.669374920129492
64,8.0,0.4915254237288136,0.01694915254237288,exponential,1.3333333333333335,scale_first_to_zero1,62.482476158748646
64,8.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,none,28.391615892590597
64,8.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,by_max_eig,30.65136714935022
64,8.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,by_trace,30.66936366293065
64,8.0,0.4915254237288136,0.01694915254237288,exponential,2.166666666666667,scale_first_to_zero1,55.21320445643765
64,8.0,0.4915254237288136,0.01694915254237288,exponential,3.0,none,28.346232055930752
64,8.0,0.4915254237288136,0.01694915254237288,exponential,3.0,by_max_eig,30.650997562124157
64,8.0,0.4915254237288136,0.01694915254237288,exponential,3.0,by_trace,30.669352663090677
64,8.0,0.4915254237288136,0.01694915254237288,exponential,3.0,scale_first_to_zero1,50.353695366178314
64,8.0,0.4915254237288136,0.01694915254237288,inverse,0.5,none,28.447536438908717
64,8.0,0.4915254237288136,0.01694915254237288,inverse,0.5,by_max_eig,30.651827563621254
64,8.0,0.4915254237288136,0.01694915254237288,inverse,0.5,by_trace,30.66937720274818
64,8.0,0.4915254237288136,0.01694915254237288,inverse,0.5,scale_first_to_zero1,61.808899430361635
64,8.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,none,28.337330816133043
64,8.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,by_max_eig,30.65093876897279
64,8.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,by_trace,30.669350320717093
64,8.0,0.4915254237288136,0.01694915254237288,inverse,1.3333333333333335,scale_first_to_zero1,41.05360455707843
64,8.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,none,28.2278207419581
64,8.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,by_max_eig,30.650056678095737
64,8.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,by_trace,30.669323713786596
64,8.0,0.4915254237288136,0.01694915254237288,inverse,2.166666666666667,scale_first_to_zero1,29.684628276972767
